Given args
Namespace(coco_annotations='/hpi/fs00/share/fg-rabl/strassenburg/datasets/cutsom-coco-data/coco_meta.json', coco_root='/hpi/fs00/share/fg-rabl/strassenburg/datasets/cutsom-coco-data', deterministic=True, model='googlenet', num_epochs=50)
Pytorch Environment info
SystemEnv(torch_version='1.7.1', is_debug_build='False', cuda_compiled_version='11.0', gcc_version='(Ubuntu 9.3.0-17ubuntu1~20.04) 9.3.0', clang_version=None, cmake_version='version 3.19.3', os='Ubuntu 20.04.1 LTS (x86_64)', python_version='3.8 (64-bit runtime)', is_cuda_available='True', cuda_runtime_version=None, nvidia_driver_version='450.80.02', nvidia_gpu_models='GPU 0: A100-SXM4-40GB\nGPU 1: A100-SXM4-40GB\nGPU 2: A100-SXM4-40GB\nGPU 3: A100-SXM4-40GB\nGPU 4: A100-SXM4-40GB\nGPU 5: A100-SXM4-40GB\nGPU 6: A100-SXM4-40GB\nGPU 7: A100-SXM4-40GB', cudnn_version=None, pip_version='pip3', pip_packages='numpy==1.19.5\ntorch==1.7.1\ntorchaudio==0.7.0a0+a853dff\ntorchvision==0.8.2', conda_packages='_pytorch_select           0.1                       cpu_0  \nblas                      1.0                         mkl  \ncudatoolkit               11.0.221             h6bb024c_0  \nlibmklml                  2019.0.5                      0  \nmkl                       2020.2                      256  \nmkl-service               2.3.0            py38he904b0f_0  \nmkl_fft                   1.3.0            py38h54f3939_0  \nmkl_random                1.1.1            py38h0573a6f_0  \nnumpy                     1.19.5                   pypi_0    pypi\nnumpy-base                1.19.2           py38hfa32c7d_0  \npytorch                   1.7.1           py3.8_cuda11.0.221_cudnn8.0.5_0    pytorch\ntorchaudio                0.7.2                      py38    pytorch\ntorchvision               0.8.2                py38_cu110    pytorch', hip_compiled_version='N/A', hip_runtime_version='N/A', miopen_runtime_version='N/A')
Use mmlib set_deterministic()
START;epoch;epoch-0;batch-None;time.time_ns-1623250522922740345
STOP;load_data;epoch-0;batch-14;time.time_ns-1623250532684641023
START;to_device;epoch-0;batch-14;time.time_ns-1623250532684653567
STOP;to_device;epoch-0;batch-14;time.time_ns-1623250532688137459
START;forward_path;epoch-0;batch-14;time.time_ns-1623250532688139764
STOP;forward_path;epoch-0;batch-14;time.time_ns-1623250532711126430
START;backward_path;epoch-0;batch-14;time.time_ns-1623250532711130407
STOP;backward_path;epoch-0;batch-14;time.time_ns-1623250532763613497
START;load_data;epoch-0;batch-15;time.time_ns-1623250532763724187
STOP;batch-time;epoch-0;batch-14;time.time_ns-1623250532763725509
START;batch-time;epoch-0;batch-15;time.time_ns-1623250532763726642
STOP;load_data;epoch-0;batch-15;time.time_ns-1623250533288822264
START;to_device;epoch-0;batch-15;time.time_ns-1623250533288834988
STOP;to_device;epoch-0;batch-15;time.time_ns-1623250533292284796
START;forward_path;epoch-0;batch-15;time.time_ns-1623250533292287150
STOP;forward_path;epoch-0;batch-15;time.time_ns-1623250533315326887
START;backward_path;epoch-0;batch-15;time.time_ns-1623250533315330694
STOP;backward_path;epoch-0;batch-15;time.time_ns-1623250533367567779
START;load_data;epoch-0;batch-16;time.time_ns-1623250533367687305
STOP;batch-time;epoch-0;batch-15;time.time_ns-1623250533367688818
START;batch-time;epoch-0;batch-16;time.time_ns-1623250533367690040
STOP;load_data;epoch-0;batch-16;time.time_ns-1623250533882679229
START;to_device;epoch-0;batch-16;time.time_ns-1623250533882691883
STOP;to_device;epoch-0;batch-16;time.time_ns-1623250533886065837
START;forward_path;epoch-0;batch-16;time.time_ns-1623250533886068192
STOP;forward_path;epoch-0;batch-16;time.time_ns-1623250533909278150
START;backward_path;epoch-0;batch-16;time.time_ns-1623250533909282388
STOP;backward_path;epoch-0;batch-16;time.time_ns-1623250533961310457
START;load_data;epoch-0;batch-17;time.time_ns-1623250533961316078
STOP;batch-time;epoch-0;batch-16;time.time_ns-1623250533961417610
START;batch-time;epoch-0;batch-17;time.time_ns-1623250533961418892
STOP;load_data;epoch-0;batch-17;time.time_ns-1623250534488097530
START;to_device;epoch-0;batch-17;time.time_ns-1623250534488110905
STOP;to_device;epoch-0;batch-17;time.time_ns-1623250534491633301
START;forward_path;epoch-0;batch-17;time.time_ns-1623250534491635505
STOP;forward_path;epoch-0;batch-17;time.time_ns-1623250534514827911
START;backward_path;epoch-0;batch-17;time.time_ns-1623250534514831718
STOP;backward_path;epoch-0;batch-17;time.time_ns-1623250534567003218
START;load_data;epoch-0;batch-18;time.time_ns-1623250534567008438
STOP;batch-time;epoch-0;batch-17;time.time_ns-1623250534567009630
START;batch-time;epoch-0;batch-18;time.time_ns-1623250534567010642
STOP;load_data;epoch-0;batch-18;time.time_ns-1623250535084442192
START;to_device;epoch-0;batch-18;time.time_ns-1623250535084466398
STOP;to_device;epoch-0;batch-18;time.time_ns-1623250535087665782
START;forward_path;epoch-0;batch-18;time.time_ns-1623250535087668077
STOP;forward_path;epoch-0;batch-18;time.time_ns-1623250535110761895
START;backward_path;epoch-0;batch-18;time.time_ns-1623250535110765723
STOP;backward_path;epoch-0;batch-18;time.time_ns-1623250535162989242
START;load_data;epoch-0;batch-19;time.time_ns-1623250535162994341
STOP;batch-time;epoch-0;batch-18;time.time_ns-1623250535162995554
START;batch-time;epoch-0;batch-19;time.time_ns-1623250535162996565
STOP;load_data;epoch-0;batch-19;time.time_ns-1623250535665647577
START;to_device;epoch-0;batch-19;time.time_ns-1623250535665660812
STOP;to_device;epoch-0;batch-19;time.time_ns-1623250535668886786
START;forward_path;epoch-0;batch-19;time.time_ns-1623250535668889161
STOP;forward_path;epoch-0;batch-19;time.time_ns-1623250535691886618
START;backward_path;epoch-0;batch-19;time.time_ns-1623250535691890525
STOP;backward_path;epoch-0;batch-19;time.time_ns-1623250535743936849
START;load_data;epoch-0;batch-20;time.time_ns-1623250535743941678
STOP;batch-time;epoch-0;batch-19;time.time_ns-1623250535743942900
START;batch-time;epoch-0;batch-20;time.time_ns-1623250535743944022
STOP;load_data;epoch-0;batch-20;time.time_ns-1623250536289234137
START;to_device;epoch-0;batch-20;time.time_ns-1623250536289245899
STOP;to_device;epoch-0;batch-20;time.time_ns-1623250536291751501
START;forward_path;epoch-0;batch-20;time.time_ns-1623250536291753985
STOP;forward_path;epoch-0;batch-20;time.time_ns-1623250536314747715
START;backward_path;epoch-0;batch-20;time.time_ns-1623250536314751542
STOP;backward_path;epoch-0;batch-20;time.time_ns-1623250536367166914
START;load_data;epoch-0;batch-21;time.time_ns-1623250536367176572
STOP;batch-time;epoch-0;batch-20;time.time_ns-1623250536367177805
START;batch-time;epoch-0;batch-21;time.time_ns-1623250536367178807
STOP;load_data;epoch-0;batch-21;time.time_ns-1623250536890336692
START;to_device;epoch-0;batch-21;time.time_ns-1623250536890350549
STOP;to_device;epoch-0;batch-21;time.time_ns-1623250536892670127
START;forward_path;epoch-0;batch-21;time.time_ns-1623250536892672472
STOP;forward_path;epoch-0;batch-21;time.time_ns-1623250536915972220
START;backward_path;epoch-0;batch-21;time.time_ns-1623250536916075556
STOP;backward_path;epoch-0;batch-21;time.time_ns-1623250536968659397
START;load_data;epoch-0;batch-22;time.time_ns-1623250536968664426
STOP;batch-time;epoch-0;batch-21;time.time_ns-1623250536968665789
START;batch-time;epoch-0;batch-22;time.time_ns-1623250536968666881
STOP;load_data;epoch-0;batch-22;time.time_ns-1623250537518151783
START;to_device;epoch-0;batch-22;time.time_ns-1623250537518164818
STOP;to_device;epoch-0;batch-22;time.time_ns-1623250537520465311
START;forward_path;epoch-0;batch-22;time.time_ns-1623250537520467555
STOP;forward_path;epoch-0;batch-22;time.time_ns-1623250537543506340
START;backward_path;epoch-0;batch-22;time.time_ns-1623250537543510327
STOP;backward_path;epoch-0;batch-22;time.time_ns-1623250537595541472
START;load_data;epoch-0;batch-23;time.time_ns-1623250537595546802
STOP;batch-time;epoch-0;batch-22;time.time_ns-1623250537595548015
START;batch-time;epoch-0;batch-23;time.time_ns-1623250537595549447
STOP;load_data;epoch-0;batch-23;time.time_ns-1623250538125538800
START;to_device;epoch-0;batch-23;time.time_ns-1623250538125552656
STOP;to_device;epoch-0;batch-23;time.time_ns-1623250538127873167
START;forward_path;epoch-0;batch-23;time.time_ns-1623250538127875491
STOP;forward_path;epoch-0;batch-23;time.time_ns-1623250538150835627
START;backward_path;epoch-0;batch-23;time.time_ns-1623250538150839525
STOP;backward_path;epoch-0;batch-23;time.time_ns-1623250538202805225
START;load_data;epoch-0;batch-24;time.time_ns-1623250538202810305
STOP;batch-time;epoch-0;batch-23;time.time_ns-1623250538202811488
START;batch-time;epoch-0;batch-24;time.time_ns-1623250538202812760
STOP;load_data;epoch-0;batch-24;time.time_ns-1623250538735611208
START;to_device;epoch-0;batch-24;time.time_ns-1623250538735624874
STOP;to_device;epoch-0;batch-24;time.time_ns-1623250538737914716
START;forward_path;epoch-0;batch-24;time.time_ns-1623250538737917091
STOP;forward_path;epoch-0;batch-24;time.time_ns-1623250538760884641
START;backward_path;epoch-0;batch-24;time.time_ns-1623250538760889189
STOP;backward_path;epoch-0;batch-24;time.time_ns-1623250538816513023
START;load_data;epoch-0;batch-25;time.time_ns-1623250538816520918
STOP;batch-time;epoch-0;batch-24;time.time_ns-1623250538816522460
START;batch-time;epoch-0;batch-25;time.time_ns-1623250538816523513
STOP;load_data;epoch-0;batch-25;time.time_ns-1623250539336305150
START;to_device;epoch-0;batch-25;time.time_ns-1623250539336317703
STOP;to_device;epoch-0;batch-25;time.time_ns-1623250539338632373
START;forward_path;epoch-0;batch-25;time.time_ns-1623250539338636030
STOP;forward_path;epoch-0;batch-25;time.time_ns-1623250539362433210
START;backward_path;epoch-0;batch-25;time.time_ns-1623250539362437037
STOP;backward_path;epoch-0;batch-25;time.time_ns-1623250539414698859
START;load_data;epoch-0;batch-26;time.time_ns-1623250539414703708
STOP;batch-time;epoch-0;batch-25;time.time_ns-1623250539414704880
START;batch-time;epoch-0;batch-26;time.time_ns-1623250539414705962
STOP;load_data;epoch-0;batch-26;time.time_ns-1623250539950895347
START;to_device;epoch-0;batch-26;time.time_ns-1623250539950917308
STOP;to_device;epoch-0;batch-26;time.time_ns-1623250539953217530
START;forward_path;epoch-0;batch-26;time.time_ns-1623250539953219825
STOP;forward_path;epoch-0;batch-26;time.time_ns-1623250539976596008
START;backward_path;epoch-0;batch-26;time.time_ns-1623250539976599905
STOP;backward_path;epoch-0;batch-26;time.time_ns-1623250540029373145
START;load_data;epoch-0;batch-27;time.time_ns-1623250540029377854
STOP;batch-time;epoch-0;batch-26;time.time_ns-1623250540029379036
START;batch-time;epoch-0;batch-27;time.time_ns-1623250540029380048
STOP;load_data;epoch-0;batch-27;time.time_ns-1623250540550388766
START;to_device;epoch-0;batch-27;time.time_ns-1623250540550402883
STOP;to_device;epoch-0;batch-27;time.time_ns-1623250540552756687
START;forward_path;epoch-0;batch-27;time.time_ns-1623250540552759292
STOP;forward_path;epoch-0;batch-27;time.time_ns-1623250540576633969
START;backward_path;epoch-0;batch-27;time.time_ns-1623250540576638066
STOP;backward_path;epoch-0;batch-27;time.time_ns-1623250540628811861
START;load_data;epoch-0;batch-28;time.time_ns-1623250540628817101
STOP;batch-time;epoch-0;batch-27;time.time_ns-1623250540628818454
START;batch-time;epoch-0;batch-28;time.time_ns-1623250540628819485
STOP;load_data;epoch-0;batch-28;time.time_ns-1623250541155004349
START;to_device;epoch-0;batch-28;time.time_ns-1623250541155016752
STOP;to_device;epoch-0;batch-28;time.time_ns-1623250541157318848
START;forward_path;epoch-0;batch-28;time.time_ns-1623250541157321273
STOP;forward_path;epoch-0;batch-28;time.time_ns-1623250541180430521
START;backward_path;epoch-0;batch-28;time.time_ns-1623250541180434488
STOP;backward_path;epoch-0;batch-28;time.time_ns-1623250541232468599
START;load_data;epoch-0;batch-29;time.time_ns-1623250541232473468
STOP;batch-time;epoch-0;batch-28;time.time_ns-1623250541232474671
START;batch-time;epoch-0;batch-29;time.time_ns-1623250541232475682
STOP;load_data;epoch-0;batch-29;time.time_ns-1623250541792454822
START;to_device;epoch-0;batch-29;time.time_ns-1623250541792467817
STOP;to_device;epoch-0;batch-29;time.time_ns-1623250541794771025
START;forward_path;epoch-0;batch-29;time.time_ns-1623250541794773259
STOP;forward_path;epoch-0;batch-29;time.time_ns-1623250541817968280
START;backward_path;epoch-0;batch-29;time.time_ns-1623250541817972067
STOP;backward_path;epoch-0;batch-29;time.time_ns-1623250541870143377
START;load_data;epoch-0;batch-30;time.time_ns-1623250541870148176
STOP;batch-time;epoch-0;batch-29;time.time_ns-1623250541870149348
START;batch-time;epoch-0;batch-30;time.time_ns-1623250541870150350
STOP;load_data;epoch-0;batch-30;time.time_ns-1623250542388358700
START;to_device;epoch-0;batch-30;time.time_ns-1623250542388371163
STOP;to_device;epoch-0;batch-30;time.time_ns-1623250542390663712
START;forward_path;epoch-0;batch-30;time.time_ns-1623250542390665916
STOP;forward_path;epoch-0;batch-30;time.time_ns-1623250542413851859
START;backward_path;epoch-0;batch-30;time.time_ns-1623250542413856908
STOP;backward_path;epoch-0;batch-30;time.time_ns-1623250542466070639
START;load_data;epoch-0;batch-31;time.time_ns-1623250542466075729
STOP;batch-time;epoch-0;batch-30;time.time_ns-1623250542466077061
START;batch-time;epoch-0;batch-31;time.time_ns-1623250542466078163
STOP;load_data;epoch-0;batch-31;time.time_ns-1623250542987309543
START;to_device;epoch-0;batch-31;time.time_ns-1623250542987323850
STOP;to_device;epoch-0;batch-31;time.time_ns-1623250542990747649
START;forward_path;epoch-0;batch-31;time.time_ns-1623250542990750043
STOP;forward_path;epoch-0;batch-31;time.time_ns-1623250543014062215
START;backward_path;epoch-0;batch-31;time.time_ns-1623250543014066203
STOP;backward_path;epoch-0;batch-31;time.time_ns-1623250543066381405
START;load_data;epoch-0;batch-32;time.time_ns-1623250543066386635
STOP;batch-time;epoch-0;batch-31;time.time_ns-1623250543066387958
START;batch-time;epoch-0;batch-32;time.time_ns-1623250543066495501
STOP;load_data;epoch-0;batch-32;time.time_ns-1623250543599569941
START;to_device;epoch-0;batch-32;time.time_ns-1623250543599583326
STOP;to_device;epoch-0;batch-32;time.time_ns-1623250543601858541
START;forward_path;epoch-0;batch-32;time.time_ns-1623250543601860625
STOP;forward_path;epoch-0;batch-32;time.time_ns-1623250543624871678
START;backward_path;epoch-0;batch-32;time.time_ns-1623250543624875726
STOP;backward_path;epoch-0;batch-32;time.time_ns-1623250543676904846
START;load_data;epoch-0;batch-33;time.time_ns-1623250543676910046
STOP;batch-time;epoch-0;batch-32;time.time_ns-1623250543676911208
START;batch-time;epoch-0;batch-33;time.time_ns-1623250543676912250
STOP;load_data;epoch-0;batch-33;time.time_ns-1623250544207668874
START;to_device;epoch-0;batch-33;time.time_ns-1623250544207681959
STOP;to_device;epoch-0;batch-33;time.time_ns-1623250544209978335
START;forward_path;epoch-0;batch-33;time.time_ns-1623250544209980519
STOP;forward_path;epoch-0;batch-33;time.time_ns-1623250544233303822
START;backward_path;epoch-0;batch-33;time.time_ns-1623250544233331895
STOP;backward_path;epoch-0;batch-33;time.time_ns-1623250544285591693
START;load_data;epoch-0;batch-34;time.time_ns-1623250544285596852
STOP;batch-time;epoch-0;batch-33;time.time_ns-1623250544285786160
START;batch-time;epoch-0;batch-34;time.time_ns-1623250544285788084
STOP;load_data;epoch-0;batch-34;time.time_ns-1623250544793052766
START;to_device;epoch-0;batch-34;time.time_ns-1623250544793065840
STOP;to_device;epoch-0;batch-34;time.time_ns-1623250544795360342
START;forward_path;epoch-0;batch-34;time.time_ns-1623250544795362937
STOP;forward_path;epoch-0;batch-34;time.time_ns-1623250544818407953
START;backward_path;epoch-0;batch-34;time.time_ns-1623250544818411871
STOP;backward_path;epoch-0;batch-34;time.time_ns-1623250544871037601
START;load_data;epoch-0;batch-35;time.time_ns-1623250544871042690
STOP;batch-time;epoch-0;batch-34;time.time_ns-1623250544871044083
START;batch-time;epoch-0;batch-35;time.time_ns-1623250544871045155
STOP;load_data;epoch-0;batch-35;time.time_ns-1623250545398927671
START;to_device;epoch-0;batch-35;time.time_ns-1623250545398941256
STOP;to_device;epoch-0;batch-35;time.time_ns-1623250545401240387
START;forward_path;epoch-0;batch-35;time.time_ns-1623250545401242751
STOP;forward_path;epoch-0;batch-35;time.time_ns-1623250545424259194
START;backward_path;epoch-0;batch-35;time.time_ns-1623250545424263111
STOP;backward_path;epoch-0;batch-35;time.time_ns-1623250545476747053
