Given args
Namespace(coco_annotations='/Users/nils/Studium/master-thesis/repo/tmp/cutsom-coco-data/coco_meta.json', coco_root='/Users/nils/Studium/master-thesis/repo/tmp/cutsom-coco-data', deterministic=True, model='mobilenet', num_epochs=3)
Pytorch Environment info
SystemEnv(torch_version='1.7.1', is_debug_build='False', cuda_compiled_version=None, gcc_version=None, clang_version='12.0.0 (clang-1200.0.32.28)', cmake_version=None, os='macOS 10.15.7 (x86_64)', python_version='3.8 (64-bit runtime)', is_cuda_available='False', cuda_runtime_version=None, nvidia_driver_version=None, nvidia_gpu_models=None, cudnn_version=None, pip_version='pip3', pip_packages='numpy==1.19.5\ntorch==1.7.1\ntorchsummary==1.5.1\ntorchvision==0.8.2', conda_packages=None, hip_compiled_version='N/A', hip_runtime_version='N/A', miopen_runtime_version='N/A')
Use mmlib set_deterministic()
START;epoch;epoch-0;batch-None;time.time_ns-1619263024987902000
START;to_device;epoch-0;batch-4;time.time_ns-1619263066000598000
STOP;to_device;epoch-0;batch-4;time.time_ns-1619263066000607000
START;forward_path;epoch-0;batch-4;time.time_ns-1619263066000610000
STOP;forward_path;epoch-0;batch-4;time.time_ns-1619263069451917000
START;backward_path;epoch-0;batch-4;time.time_ns-1619263069451928000
STOP;backward_path;epoch-0;batch-4;time.time_ns-1619263075221097000
START;load_data;epoch-0;batch-5;time.time_ns-1619263075221110000
STOP;load_data;epoch-0;batch-5;time.time_ns-1619263075928248000
START;to_device;epoch-0;batch-5;time.time_ns-1619263075928265000
STOP;to_device;epoch-0;batch-5;time.time_ns-1619263075928277000
START;forward_path;epoch-0;batch-5;time.time_ns-1619263075928280000
STOP;forward_path;epoch-0;batch-5;time.time_ns-1619263079415592000
START;backward_path;epoch-0;batch-5;time.time_ns-1619263079415603000
STOP;backward_path;epoch-0;batch-5;time.time_ns-1619263085022831000
START;load_data;epoch-0;batch-6;time.time_ns-1619263085022844000
STOP;load_data;epoch-0;batch-6;time.time_ns-1619263085642099000
START;to_device;epoch-0;batch-6;time.time_ns-1619263085642119000
STOP;to_device;epoch-0;batch-6;time.time_ns-1619263085642133000
START;forward_path;epoch-0;batch-6;time.time_ns-1619263085642135000
STOP;forward_path;epoch-0;batch-6;time.time_ns-1619263089041649000
START;backward_path;epoch-0;batch-6;time.time_ns-1619263089041660000
STOP;backward_path;epoch-0;batch-6;time.time_ns-1619263094952246000
START;load_data;epoch-0;batch-7;time.time_ns-1619263094952266000
STOP;load_data;epoch-0;batch-7;time.time_ns-1619263095602423000
START;to_device;epoch-0;batch-7;time.time_ns-1619263095602435000
STOP;to_device;epoch-0;batch-7;time.time_ns-1619263095602446000
START;forward_path;epoch-0;batch-7;time.time_ns-1619263095602448000
STOP;forward_path;epoch-0;batch-7;time.time_ns-1619263099072470000
START;backward_path;epoch-0;batch-7;time.time_ns-1619263099072481000
STOP;backward_path;epoch-0;batch-7;time.time_ns-1619263104669202000
START;load_data;epoch-0;batch-8;time.time_ns-1619263104669213000
STOP;load_data;epoch-0;batch-8;time.time_ns-1619263105299707000
START;to_device;epoch-0;batch-8;time.time_ns-1619263105299719000
STOP;to_device;epoch-0;batch-8;time.time_ns-1619263105299728000
START;forward_path;epoch-0;batch-8;time.time_ns-1619263105299731000
STOP;forward_path;epoch-0;batch-8;time.time_ns-1619263108694621000
START;backward_path;epoch-0;batch-8;time.time_ns-1619263108694632000
STOP;backward_path;epoch-0;batch-8;time.time_ns-1619263114217661000
START;load_data;epoch-0;batch-9;time.time_ns-1619263114217673000
STOP;load_data;epoch-0;batch-9;time.time_ns-1619263114828756000
START;to_device;epoch-0;batch-9;time.time_ns-1619263114828767000
STOP;to_device;epoch-0;batch-9;time.time_ns-1619263114828776000
START;forward_path;epoch-0;batch-9;time.time_ns-1619263114828778000
STOP;forward_path;epoch-0;batch-9;time.time_ns-1619263118236599000
START;backward_path;epoch-0;batch-9;time.time_ns-1619263118236610000
STOP;backward_path;epoch-0;batch-9;time.time_ns-1619263123740178000
START;load_data;epoch-0;batch-10;time.time_ns-1619263123740197000
STOP;load_data;epoch-0;batch-10;time.time_ns-1619263124385700000
START;to_device;epoch-0;batch-10;time.time_ns-1619263124385712000
STOP;to_device;epoch-0;batch-10;time.time_ns-1619263124385721000
START;forward_path;epoch-0;batch-10;time.time_ns-1619263124385726000
STOP;forward_path;epoch-0;batch-10;time.time_ns-1619263127764105000
START;backward_path;epoch-0;batch-10;time.time_ns-1619263127764117000
STOP;backward_path;epoch-0;batch-10;time.time_ns-1619263133336071000
START;load_data;epoch-0;batch-11;time.time_ns-1619263133336083000
STOP;load_data;epoch-0;batch-11;time.time_ns-1619263133962528000
START;to_device;epoch-0;batch-11;time.time_ns-1619263133962544000
STOP;to_device;epoch-0;batch-11;time.time_ns-1619263133962557000
START;forward_path;epoch-0;batch-11;time.time_ns-1619263133962559000
STOP;forward_path;epoch-0;batch-11;time.time_ns-1619263137362985000
START;backward_path;epoch-0;batch-11;time.time_ns-1619263137362997000
STOP;backward_path;epoch-0;batch-11;time.time_ns-1619263142906969000
START;load_data;epoch-0;batch-12;time.time_ns-1619263142906981000
STOP;load_data;epoch-0;batch-12;time.time_ns-1619263143547265000
START;to_device;epoch-0;batch-12;time.time_ns-1619263143547278000
STOP;to_device;epoch-0;batch-12;time.time_ns-1619263143547287000
START;forward_path;epoch-0;batch-12;time.time_ns-1619263143547289000
STOP;forward_path;epoch-0;batch-12;time.time_ns-1619263146959765000
START;backward_path;epoch-0;batch-12;time.time_ns-1619263146959776000
STOP;backward_path;epoch-0;batch-12;time.time_ns-1619263152457733000
START;load_data;epoch-0;batch-13;time.time_ns-1619263152457744000
STOP;load_data;epoch-0;batch-13;time.time_ns-1619263153089185000
START;to_device;epoch-0;batch-13;time.time_ns-1619263153089199000
STOP;to_device;epoch-0;batch-13;time.time_ns-1619263153089210000
START;forward_path;epoch-0;batch-13;time.time_ns-1619263153089212000
STOP;forward_path;epoch-0;batch-13;time.time_ns-1619263156478302000
START;backward_path;epoch-0;batch-13;time.time_ns-1619263156478445000
STOP;backward_path;epoch-0;batch-13;time.time_ns-1619263161967214000
START;load_data;epoch-0;batch-14;time.time_ns-1619263161967226000
STOP;load_data;epoch-0;batch-14;time.time_ns-1619263162582942000
START;to_device;epoch-0;batch-14;time.time_ns-1619263162582954000
STOP;to_device;epoch-0;batch-14;time.time_ns-1619263162582964000
START;forward_path;epoch-0;batch-14;time.time_ns-1619263162582965000
STOP;forward_path;epoch-0;batch-14;time.time_ns-1619263165989001000
START;backward_path;epoch-0;batch-14;time.time_ns-1619263165989011000
STOP;backward_path;epoch-0;batch-14;time.time_ns-1619263171460404000
START;load_data;epoch-0;batch-15;time.time_ns-1619263171460417000
STOP;load_data;epoch-0;batch-15;time.time_ns-1619263172103396000
START;to_device;epoch-0;batch-15;time.time_ns-1619263172103415000
STOP;to_device;epoch-0;batch-15;time.time_ns-1619263172103429000
START;forward_path;epoch-0;batch-15;time.time_ns-1619263172103433000
STOP;forward_path;epoch-0;batch-15;time.time_ns-1619263175483270000
START;backward_path;epoch-0;batch-15;time.time_ns-1619263175483281000
STOP;backward_path;epoch-0;batch-15;time.time_ns-1619263180977243000
START;load_data;epoch-0;batch-16;time.time_ns-1619263180977256000
STOP;load_data;epoch-0;batch-16;time.time_ns-1619263181583488000
START;to_device;epoch-0;batch-16;time.time_ns-1619263181583499000
STOP;to_device;epoch-0;batch-16;time.time_ns-1619263181583508000
START;forward_path;epoch-0;batch-16;time.time_ns-1619263181583510000
STOP;forward_path;epoch-0;batch-16;time.time_ns-1619263184976933000
START;backward_path;epoch-0;batch-16;time.time_ns-1619263184976944000
STOP;backward_path;epoch-0;batch-16;time.time_ns-1619263190471013000
START;load_data;epoch-0;batch-17;time.time_ns-1619263190471025000
STOP;load_data;epoch-0;batch-17;time.time_ns-1619263191105993000
START;to_device;epoch-0;batch-17;time.time_ns-1619263191106005000
STOP;to_device;epoch-0;batch-17;time.time_ns-1619263191106014000
START;forward_path;epoch-0;batch-17;time.time_ns-1619263191106016000
STOP;forward_path;epoch-0;batch-17;time.time_ns-1619263194522186000
START;backward_path;epoch-0;batch-17;time.time_ns-1619263194522197000
STOP;backward_path;epoch-0;batch-17;time.time_ns-1619263200129800000
START;load_data;epoch-0;batch-18;time.time_ns-1619263200129812000
STOP;load_data;epoch-0;batch-18;time.time_ns-1619263200731826000
START;to_device;epoch-0;batch-18;time.time_ns-1619263200731838000
STOP;to_device;epoch-0;batch-18;time.time_ns-1619263200731846000
START;forward_path;epoch-0;batch-18;time.time_ns-1619263200731850000
STOP;forward_path;epoch-0;batch-18;time.time_ns-1619263204142954000
START;backward_path;epoch-0;batch-18;time.time_ns-1619263204142966000
STOP;backward_path;epoch-0;batch-18;time.time_ns-1619263209666666000
START;load_data;epoch-0;batch-19;time.time_ns-1619263209666677000
STOP;load_data;epoch-0;batch-19;time.time_ns-1619263210316214000
START;to_device;epoch-0;batch-19;time.time_ns-1619263210316227000
STOP;to_device;epoch-0;batch-19;time.time_ns-1619263210316237000
START;forward_path;epoch-0;batch-19;time.time_ns-1619263210316240000
STOP;forward_path;epoch-0;batch-19;time.time_ns-1619263213699521000
START;backward_path;epoch-0;batch-19;time.time_ns-1619263213699532000
STOP;backward_path;epoch-0;batch-19;time.time_ns-1619263219162525000
START;load_data;epoch-0;batch-20;time.time_ns-1619263219162537000
STOP;load_data;epoch-0;batch-20;time.time_ns-1619263219817055000
START;to_device;epoch-0;batch-20;time.time_ns-1619263219817067000
STOP;to_device;epoch-0;batch-20;time.time_ns-1619263219817076000
START;forward_path;epoch-0;batch-20;time.time_ns-1619263219817078000
STOP;forward_path;epoch-0;batch-20;time.time_ns-1619263223216133000
START;backward_path;epoch-0;batch-20;time.time_ns-1619263223216144000
STOP;backward_path;epoch-0;batch-20;time.time_ns-1619263228741856000
START;load_data;epoch-0;batch-21;time.time_ns-1619263228741868000
STOP;load_data;epoch-0;batch-21;time.time_ns-1619263229387606000
START;to_device;epoch-0;batch-21;time.time_ns-1619263229387617000
STOP;to_device;epoch-0;batch-21;time.time_ns-1619263229387626000
START;forward_path;epoch-0;batch-21;time.time_ns-1619263229387628000
STOP;forward_path;epoch-0;batch-21;time.time_ns-1619263232796836000
START;backward_path;epoch-0;batch-21;time.time_ns-1619263232796848000
STOP;backward_path;epoch-0;batch-21;time.time_ns-1619263238330368000
START;load_data;epoch-0;batch-22;time.time_ns-1619263238330380000
STOP;load_data;epoch-0;batch-22;time.time_ns-1619263238984536000
START;to_device;epoch-0;batch-22;time.time_ns-1619263238984549000
STOP;to_device;epoch-0;batch-22;time.time_ns-1619263238984559000
START;forward_path;epoch-0;batch-22;time.time_ns-1619263238984562000
STOP;forward_path;epoch-0;batch-22;time.time_ns-1619263242366676000
START;backward_path;epoch-0;batch-22;time.time_ns-1619263242366687000
STOP;backward_path;epoch-0;batch-22;time.time_ns-1619263247848826000
START;load_data;epoch-0;batch-23;time.time_ns-1619263247848838000
STOP;load_data;epoch-0;batch-23;time.time_ns-1619263248469547000
START;to_device;epoch-0;batch-23;time.time_ns-1619263248469559000
STOP;to_device;epoch-0;batch-23;time.time_ns-1619263248469567000
START;forward_path;epoch-0;batch-23;time.time_ns-1619263248469569000
STOP;forward_path;epoch-0;batch-23;time.time_ns-1619263251851209000
START;backward_path;epoch-0;batch-23;time.time_ns-1619263251851220000
STOP;backward_path;epoch-0;batch-23;time.time_ns-1619263257421633000
START;load_data;epoch-0;batch-24;time.time_ns-1619263257421645000
STOP;load_data;epoch-0;batch-24;time.time_ns-1619263258061061000
START;to_device;epoch-0;batch-24;time.time_ns-1619263258061080000
STOP;to_device;epoch-0;batch-24;time.time_ns-1619263258061095000
START;forward_path;epoch-0;batch-24;time.time_ns-1619263258061097000
STOP;forward_path;epoch-0;batch-24;time.time_ns-1619263261459621000
START;backward_path;epoch-0;batch-24;time.time_ns-1619263261459631000
STOP;backward_path;epoch-0;batch-24;time.time_ns-1619263266934291000
START;load_data;epoch-0;batch-25;time.time_ns-1619263266934303000
STOP;load_data;epoch-0;batch-25;time.time_ns-1619263267544894000
START;to_device;epoch-0;batch-25;time.time_ns-1619263267544906000
STOP;to_device;epoch-0;batch-25;time.time_ns-1619263267544914000
START;forward_path;epoch-0;batch-25;time.time_ns-1619263267544916000
STOP;forward_path;epoch-0;batch-25;time.time_ns-1619263270914558000
START;backward_path;epoch-0;batch-25;time.time_ns-1619263270914569000
STOP;backward_path;epoch-0;batch-25;time.time_ns-1619263276386088000
START;load_data;epoch-0;batch-26;time.time_ns-1619263276386100000
STOP;load_data;epoch-0;batch-26;time.time_ns-1619263277007497000
START;to_device;epoch-0;batch-26;time.time_ns-1619263277007514000
STOP;to_device;epoch-0;batch-26;time.time_ns-1619263277007526000
START;forward_path;epoch-0;batch-26;time.time_ns-1619263277007529000
STOP;forward_path;epoch-0;batch-26;time.time_ns-1619263280390601000
START;backward_path;epoch-0;batch-26;time.time_ns-1619263280390614000
STOP;backward_path;epoch-0;batch-26;time.time_ns-1619263285875922000
START;load_data;epoch-0;batch-27;time.time_ns-1619263285875935000
STOP;load_data;epoch-0;batch-27;time.time_ns-1619263286485589000
START;to_device;epoch-0;batch-27;time.time_ns-1619263286485601000
STOP;to_device;epoch-0;batch-27;time.time_ns-1619263286485610000
START;forward_path;epoch-0;batch-27;time.time_ns-1619263286485612000
STOP;forward_path;epoch-0;batch-27;time.time_ns-1619263289849610000
START;backward_path;epoch-0;batch-27;time.time_ns-1619263289849622000
STOP;backward_path;epoch-0;batch-27;time.time_ns-1619263295358359000
START;load_data;epoch-0;batch-28;time.time_ns-1619263295358371000
STOP;load_data;epoch-0;batch-28;time.time_ns-1619263295964695000
START;to_device;epoch-0;batch-28;time.time_ns-1619263295964707000
STOP;to_device;epoch-0;batch-28;time.time_ns-1619263295964715000
START;forward_path;epoch-0;batch-28;time.time_ns-1619263295964717000
STOP;forward_path;epoch-0;batch-28;time.time_ns-1619263299376545000
START;backward_path;epoch-0;batch-28;time.time_ns-1619263299376559000
STOP;backward_path;epoch-0;batch-28;time.time_ns-1619263304838014000
START;load_data;epoch-0;batch-29;time.time_ns-1619263304838782000
STOP;load_data;epoch-0;batch-29;time.time_ns-1619263305452137000
START;to_device;epoch-0;batch-29;time.time_ns-1619263305452150000
STOP;to_device;epoch-0;batch-29;time.time_ns-1619263305452160000
START;forward_path;epoch-0;batch-29;time.time_ns-1619263305452162000
STOP;forward_path;epoch-0;batch-29;time.time_ns-1619263308862776000
START;backward_path;epoch-0;batch-29;time.time_ns-1619263308862786000
STOP;backward_path;epoch-0;batch-29;time.time_ns-1619263314355966000
START;load_data;epoch-0;batch-30;time.time_ns-1619263314355978000
STOP;load_data;epoch-0;batch-30;time.time_ns-1619263314995271000
START;to_device;epoch-0;batch-30;time.time_ns-1619263314995283000
STOP;to_device;epoch-0;batch-30;time.time_ns-1619263314995293000
START;forward_path;epoch-0;batch-30;time.time_ns-1619263314995295000
STOP;forward_path;epoch-0;batch-30;time.time_ns-1619263318392319000
START;backward_path;epoch-0;batch-30;time.time_ns-1619263318392330000
STOP;backward_path;epoch-0;batch-30;time.time_ns-1619263323868794000
START;load_data;epoch-0;batch-31;time.time_ns-1619263323868806000
STOP;load_data;epoch-0;batch-31;time.time_ns-1619263324504471000
START;to_device;epoch-0;batch-31;time.time_ns-1619263324504490000
STOP;to_device;epoch-0;batch-31;time.time_ns-1619263324504504000
START;forward_path;epoch-0;batch-31;time.time_ns-1619263324504506000
STOP;forward_path;epoch-0;batch-31;time.time_ns-1619263327888251000
START;backward_path;epoch-0;batch-31;time.time_ns-1619263327888262000
STOP;backward_path;epoch-0;batch-31;time.time_ns-1619263333467951000
START;load_data;epoch-0;batch-32;time.time_ns-1619263333467963000
STOP;load_data;epoch-0;batch-32;time.time_ns-1619263334114954000
START;to_device;epoch-0;batch-32;time.time_ns-1619263334114972000
STOP;to_device;epoch-0;batch-32;time.time_ns-1619263334114984000
START;forward_path;epoch-0;batch-32;time.time_ns-1619263334114986000
STOP;forward_path;epoch-0;batch-32;time.time_ns-1619263337489004000
START;backward_path;epoch-0;batch-32;time.time_ns-1619263337489015000
STOP;backward_path;epoch-0;batch-32;time.time_ns-1619263342999925000
START;load_data;epoch-0;batch-33;time.time_ns-1619263342999936000
STOP;load_data;epoch-0;batch-33;time.time_ns-1619263343620948000
START;to_device;epoch-0;batch-33;time.time_ns-1619263343620960000
STOP;to_device;epoch-0;batch-33;time.time_ns-1619263343620969000
START;forward_path;epoch-0;batch-33;time.time_ns-1619263343620971000
STOP;forward_path;epoch-0;batch-33;time.time_ns-1619263347008989000
START;backward_path;epoch-0;batch-33;time.time_ns-1619263347009001000
STOP;backward_path;epoch-0;batch-33;time.time_ns-1619263352516401000
START;load_data;epoch-0;batch-34;time.time_ns-1619263352516414000
STOP;load_data;epoch-0;batch-34;time.time_ns-1619263353121751000
START;to_device;epoch-0;batch-34;time.time_ns-1619263353121772000
STOP;to_device;epoch-0;batch-34;time.time_ns-1619263353121788000
START;forward_path;epoch-0;batch-34;time.time_ns-1619263353121790000
STOP;forward_path;epoch-0;batch-34;time.time_ns-1619263356535829000
START;backward_path;epoch-0;batch-34;time.time_ns-1619263356535842000
STOP;backward_path;epoch-0;batch-34;time.time_ns-1619263362025521000
START;load_data;epoch-0;batch-35;time.time_ns-1619263362025533000
STOP;load_data;epoch-0;batch-35;time.time_ns-1619263362667265000
START;to_device;epoch-0;batch-35;time.time_ns-1619263362667278000
STOP;to_device;epoch-0;batch-35;time.time_ns-1619263362667287000
START;forward_path;epoch-0;batch-35;time.time_ns-1619263362667289000
STOP;forward_path;epoch-0;batch-35;time.time_ns-1619263366029479000
START;backward_path;epoch-0;batch-35;time.time_ns-1619263366029490000
STOP;backward_path;epoch-0;batch-35;time.time_ns-1619263371508936000
START;load_data;epoch-0;batch-36;time.time_ns-1619263371508949000
STOP;load_data;epoch-0;batch-36;time.time_ns-1619263372159883000
START;to_device;epoch-0;batch-36;time.time_ns-1619263372159905000
STOP;to_device;epoch-0;batch-36;time.time_ns-1619263372159926000
START;forward_path;epoch-0;batch-36;time.time_ns-1619263372159932000
STOP;forward_path;epoch-0;batch-36;time.time_ns-1619263375587562000
START;backward_path;epoch-0;batch-36;time.time_ns-1619263375587573000
STOP;backward_path;epoch-0;batch-36;time.time_ns-1619263381163954000
START;load_data;epoch-0;batch-37;time.time_ns-1619263381163965000
STOP;load_data;epoch-0;batch-37;time.time_ns-1619263381791536000
START;to_device;epoch-0;batch-37;time.time_ns-1619263381791549000
STOP;to_device;epoch-0;batch-37;time.time_ns-1619263381791559000
START;forward_path;epoch-0;batch-37;time.time_ns-1619263381791560000
STOP;forward_path;epoch-0;batch-37;time.time_ns-1619263385218052000
START;backward_path;epoch-0;batch-37;time.time_ns-1619263385218063000
STOP;backward_path;epoch-0;batch-37;time.time_ns-1619263390730455000
START;load_data;epoch-0;batch-38;time.time_ns-1619263390730467000
STOP;load_data;epoch-0;batch-38;time.time_ns-1619263391402104000
START;to_device;epoch-0;batch-38;time.time_ns-1619263391402117000
STOP;to_device;epoch-0;batch-38;time.time_ns-1619263391402131000
START;forward_path;epoch-0;batch-38;time.time_ns-1619263391402134000
STOP;forward_path;epoch-0;batch-38;time.time_ns-1619263394786858000
START;backward_path;epoch-0;batch-38;time.time_ns-1619263394786869000
STOP;backward_path;epoch-0;batch-38;time.time_ns-1619263400272551000
START;load_data;epoch-0;batch-39;time.time_ns-1619263400272563000
STOP;load_data;epoch-0;batch-39;time.time_ns-1619263400916925000
START;to_device;epoch-0;batch-39;time.time_ns-1619263400916937000
STOP;to_device;epoch-0;batch-39;time.time_ns-1619263400916946000
START;forward_path;epoch-0;batch-39;time.time_ns-1619263400916948000
STOP;forward_path;epoch-0;batch-39;time.time_ns-1619263404279200000
START;backward_path;epoch-0;batch-39;time.time_ns-1619263404279211000
STOP;backward_path;epoch-0;batch-39;time.time_ns-1619263409697058000
START;load_data;epoch-0;batch-40;time.time_ns-1619263409697070000
STOP;load_data;epoch-0;batch-40;time.time_ns-1619263410337342000
START;to_device;epoch-0;batch-40;time.time_ns-1619263410337354000
STOP;to_device;epoch-0;batch-40;time.time_ns-1619263410337363000
START;forward_path;epoch-0;batch-40;time.time_ns-1619263410337364000
STOP;forward_path;epoch-0;batch-40;time.time_ns-1619263413717512000
START;backward_path;epoch-0;batch-40;time.time_ns-1619263413717523000
STOP;backward_path;epoch-0;batch-40;time.time_ns-1619263419101209000
START;load_data;epoch-0;batch-41;time.time_ns-1619263419101221000
STOP;load_data;epoch-0;batch-41;time.time_ns-1619263419739769000
START;to_device;epoch-0;batch-41;time.time_ns-1619263419739780000
STOP;to_device;epoch-0;batch-41;time.time_ns-1619263419739789000
START;forward_path;epoch-0;batch-41;time.time_ns-1619263419739791000
STOP;forward_path;epoch-0;batch-41;time.time_ns-1619263423076603000
START;backward_path;epoch-0;batch-41;time.time_ns-1619263423076614000
STOP;backward_path;epoch-0;batch-41;time.time_ns-1619263428446033000
START;load_data;epoch-0;batch-42;time.time_ns-1619263428446045000
STOP;load_data;epoch-0;batch-42;time.time_ns-1619263429072947000
START;to_device;epoch-0;batch-42;time.time_ns-1619263429072958000
STOP;to_device;epoch-0;batch-42;time.time_ns-1619263429072967000
START;forward_path;epoch-0;batch-42;time.time_ns-1619263429072969000
STOP;forward_path;epoch-0;batch-42;time.time_ns-1619263432405911000
START;backward_path;epoch-0;batch-42;time.time_ns-1619263432405921000
STOP;backward_path;epoch-0;batch-42;time.time_ns-1619263437784719000
START;load_data;epoch-0;batch-43;time.time_ns-1619263437784731000
STOP;load_data;epoch-0;batch-43;time.time_ns-1619263438401409000
START;to_device;epoch-0;batch-43;time.time_ns-1619263438401421000
STOP;to_device;epoch-0;batch-43;time.time_ns-1619263438401430000
START;forward_path;epoch-0;batch-43;time.time_ns-1619263438401432000
STOP;forward_path;epoch-0;batch-43;time.time_ns-1619263441718438000
START;backward_path;epoch-0;batch-43;time.time_ns-1619263441718449000
STOP;backward_path;epoch-0;batch-43;time.time_ns-1619263447108549000
START;load_data;epoch-0;batch-44;time.time_ns-1619263447108562000
STOP;load_data;epoch-0;batch-44;time.time_ns-1619263447723087000
START;to_device;epoch-0;batch-44;time.time_ns-1619263447723475000
STOP;to_device;epoch-0;batch-44;time.time_ns-1619263447723489000
START;forward_path;epoch-0;batch-44;time.time_ns-1619263447723491000
STOP;forward_path;epoch-0;batch-44;time.time_ns-1619263451078471000
START;backward_path;epoch-0;batch-44;time.time_ns-1619263451078482000
STOP;backward_path;epoch-0;batch-44;time.time_ns-1619263456470119000
START;load_data;epoch-0;batch-45;time.time_ns-1619263456470131000
STOP;load_data;epoch-0;batch-45;time.time_ns-1619263457102013000
START;to_device;epoch-0;batch-45;time.time_ns-1619263457102023000
STOP;to_device;epoch-0;batch-45;time.time_ns-1619263457102032000
START;forward_path;epoch-0;batch-45;time.time_ns-1619263457102034000
STOP;forward_path;epoch-0;batch-45;time.time_ns-1619263460406317000
START;backward_path;epoch-0;batch-45;time.time_ns-1619263460406328000
STOP;backward_path;epoch-0;batch-45;time.time_ns-1619263465792897000
START;load_data;epoch-0;batch-46;time.time_ns-1619263465792910000
STOP;load_data;epoch-0;batch-46;time.time_ns-1619263466421043000
START;to_device;epoch-0;batch-46;time.time_ns-1619263466421054000
STOP;to_device;epoch-0;batch-46;time.time_ns-1619263466421062000
START;forward_path;epoch-0;batch-46;time.time_ns-1619263466421064000
STOP;forward_path;epoch-0;batch-46;time.time_ns-1619263469728511000
START;backward_path;epoch-0;batch-46;time.time_ns-1619263469728522000
STOP;backward_path;epoch-0;batch-46;time.time_ns-1619263475108670000
START;load_data;epoch-0;batch-47;time.time_ns-1619263475108681000
STOP;load_data;epoch-0;batch-47;time.time_ns-1619263475719843000
START;to_device;epoch-0;batch-47;time.time_ns-1619263475719855000
STOP;to_device;epoch-0;batch-47;time.time_ns-1619263475719863000
START;forward_path;epoch-0;batch-47;time.time_ns-1619263475719865000
STOP;forward_path;epoch-0;batch-47;time.time_ns-1619263479058776000
START;backward_path;epoch-0;batch-47;time.time_ns-1619263479058786000
STOP;backward_path;epoch-0;batch-47;time.time_ns-1619263484440100000
START;load_data;epoch-0;batch-48;time.time_ns-1619263484440112000
STOP;load_data;epoch-0;batch-48;time.time_ns-1619263485066803000
START;to_device;epoch-0;batch-48;time.time_ns-1619263485066814000
STOP;to_device;epoch-0;batch-48;time.time_ns-1619263485066823000
START;forward_path;epoch-0;batch-48;time.time_ns-1619263485066824000
STOP;forward_path;epoch-0;batch-48;time.time_ns-1619263488420742000
